Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status,Nonprofit EIN
JOHNSON PLUMBING CONTRACTORS LLC,606 105 572,WA LIMITED LIABILITY COMPANY,"1304 NW 11TH ST, BATTLE GROUND, WA, 98604, UNITED STATES",JOHNSON PLUMBING CONTRACTORS,Active,
MALTBY PLUMBING LLC,606 157 165,WA LIMITED LIABILITY COMPANY,"18101 SNOHOMISH AVE, SNOHOMISH, WA, 98296, UNITED STATES",RYAN HINKLE,Active,
MALTOS PLUMBING LLC,606 083 531,WA LIMITED LIABILITY COMPANY,"6504 W. YAKIMA AVE, YAKIMA, WA, 98908, UNITED STATES",TYLER MALTOS,Active,
MERVLAND PLUMBING LLC,606 111 428,WA LIMITED LIABILITY COMPANY,"11023 NE 125TH LANE V101, KIRKLAND, WA, 98034, UNITED STATES",ATAJAN ALTYYEV,Active,
MORRISON PLUMBING AND SERVICE LLC,606 110 058,WA LIMITED LIABILITY COMPANY,"183 S JOHNSON AVE, YACOLT, WA, 98675, UNITED STATES",ADAM MORRISON,Active,
NEW HARVEST PLUMBING LLC,606 029 278,WA LIMITED LIABILITY COMPANY,"634 E 18TH AVE, SPOKANE, WA, 99203-2223, UNITED STATES",REGISTERED AGENTS INC.,Active,
NORTH PEAK PLUMBING LLC,606 153 907,WA LIMITED LIABILITY COMPANY,"2222 182ND ST SE, BOTHELL, WA, 98012, UNITED STATES",ERIC NORBY,Active,
PARSON PLUMBING LLC,606 125 906,WA LIMITED LIABILITY COMPANY,"7104 NE 164TH CT, VANCOUVER, WA, 98682-1930, UNITED STATES",BRADLEY PARSON,Active,
PEAK PLUMBING PUYALLUP LLC,606 087 417,WA LIMITED LIABILITY COMPANY,"14320 50TH AVE E, TACOMA, WA, 98446, UNITED STATES",DANTE PYLAND,Active,
PIPED-UP PLUMBING LLC,606 144 959,WA LIMITED LIABILITY COMPANY,"3728 E PRINCETON AVE, SPOKANE, WA, 99217, UNITED STATES",COLEMAN GUNION,Active,
PIPEFLOW PLUMBING LLC,606 170 019,WA LIMITED LIABILITY COMPANY,"13603 91ST AVE CT E, PUYALLUP, WA, 98373, UNITED STATES",CARLOS GUILLERMO AREVALO RAMOS,Active,
PIPEWRENCH PLUMBING INC,606 174 254,FOREIGN PROFIT CORPORATION,"17463 WOODHAVEN DR, SHERWOOD, OR, 97140, UNITED STATES",REGISTERED AGENTS INC.,Active,
PLUMBING SERVICE EXPERTS LLC,606 033 180,WA LIMITED LIABILITY COMPANY,"705 MAIN ST, SULTAN, WA, 98294, UNITED STATES",YOUR LOCAL BOOKKEEPER,Active,
PNW PLUMBING WORKS LLC,606 138 049,WA LIMITED LIABILITY COMPANY,"7208 S 17th St, TACOMA, WA, 98465, UNITED STATES",KEVIN MACKINNON,Active,
PROVEN PLUMBING SERVICES LLC,606 038 215,FOREIGN LIMITED LIABILITY COMPANY,"522 W RIVERSIDE AVE STE N, SPOKANE, WA, 99201-0581, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",Active,
QUALITY PLUMBING & WATER LLC,606 080 295,WA LIMITED LIABILITY COMPANY,"21004 117TH ST E, BONNEY LAKE, WA, 98391, UNITED STATES",DANIEL GUSHEVATYY,Active,
QUICK STOP PLUMBING L.L.C.,606 165 887,WA LIMITED LIABILITY COMPANY,"4223 N PROGRESS RD APT 7, SPOKANE VALLEY, WA, 99216-1352, UNITED STATES",JUSTIN MARTIN,Active,
RANGER PLUMBING LLC,606 041 602,WA LIMITED LIABILITY COMPANY,"1206 20TH ST NW, PUYALLUP, WA, 98371-3948, UNITED STATES",JOSHUA SCHMIDT,Active,
READY YETI PLUMBING LLC,606 190 466,WA LIMITED LIABILITY COMPANY,"1328 CARLSON RD, SNOHOMISH, WA, 98290-9718, UNITED STATES",BRETT POTTER,Active,
ROBERT THE PLUMBER AND HVAC 2 LLC,606 106 103,WA LIMITED LIABILITY COMPANY,"9107 266TH ST E, GRAHAM, WA, 98388, UNITED STATES",ROBERT WRIGHT,Active,
ROOSTERS PLUMBING LLC,606 074 918,WA LIMITED LIABILITY COMPANY,"14 109TH PL SE, EVERETT, WA, 98208, UNITED STATES",STANISLAV TSYMBALYUK,Active,
SANTECH PLUMBING LLC,606 033 556,WA LIMITED LIABILITY COMPANY,"6815 310TH ST E, GRAHAM, WA, 98338-9728, UNITED STATES",DMYTRO ZAGORULKO,Active,
SEA WOLF PLUMBING LLC,606 151 188,WA LIMITED LIABILITY COMPANY,"251 SADDLE DR, PORT TOWNSEND, WA, 98368, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",Active,
"SERVAL PLUMBING, INC",606 165 548,WA PROFIT CORPORATION,"19860 VIKING AVE NW, POULSBO, WA, 98370, UNITED STATES",BRYAN SANTO,Active,
SHIELD PLUMBING LLC,606 126 384,WA LIMITED LIABILITY COMPANY,"2120 N Q ST, WASHOUGAL, WA, 98671, UNITED STATES",WILLIAM MORTENSEN,Active,
SHIPPS PLUMBING LLC,606 134 075,WA LIMITED LIABILITY COMPANY,"2821 W QUEEN AVE, SPOKANE, WA, 99205, UNITED STATES",SAMUEL SHIPPS,Active,
SOUND PLUMBING CONSULTING LLC,606 043 703,WA LIMITED LIABILITY COMPANY,"124 PRIEST LANE, SEQUIM, WA, 98382-3240, UNITED STATES",REGISTERED AGENTS INC.,Active,
STR PLUMBING SERVICES LLC,606 108 386,WA LIMITED LIABILITY COMPANY,"3170 S SANTA FE CT, CAMANO ISLAND, WA, 98282, UNITED STATES",STEVEN BRYSON,Active,
SUMMIT TO SOUND PLUMBING CO LLC,606 088 901,WA LIMITED LIABILITY COMPANY,"2106 5TH ST SE, PUYALLUP, WA, 98372, UNITED STATES",NORTHWEST REGISTERED AGENT,Active,
TERRY'S PLUMBING LLC,603 592 455,FOREIGN LIMITED LIABILITY COMPANY,"415 GATEWAY AVE, ASTORIA, OR, 97103, UNITED STATES","WASHINGTON REGISTERED AGENT, LLC.",Active,
"TIDE AND TIMBER PLUMBING, LLC",606 040 117,WA LIMITED LIABILITY COMPANY,"2811 NE 148TH ST, VANCOUVER, WA, 98686-1578, UNITED STATES",DANIELLE LIENHARD,Active,
TRU3FLOW PLUMBING LLC,606 127 525,WA LIMITED LIABILITY COMPANY,"37427 39TH AVE S, AUBURN, WA, 98001, UNITED STATES",ACE ACCOUNTING SERVICES,Active,
TWIN CEDARS PLUMBING AND PROPERTY SERVICES LLC,606 082 633,WA LIMITED LIABILITY COMPANY,"2327 RIDGEWAY DR NW, BREMERTON, WA, 98312-8619, UNITED STATES",ANTHONY LEE,Active,
VILLAR PLUMBING SERVICES LLC,606 115 814,WA LIMITED LIABILITY COMPANY,"14122 CANYON RD E 5B, PUYALLUP, WA, 98373, UNITED STATES",DEREK VILLAR,Active,
WASHINGTON STATE PLUMBING LLC,606 148 746,WA LIMITED LIABILITY COMPANY,"1160 OLYMPIA AVE NE, RENTON, WA, 98056-3435, UNITED STATES",AMBER WRIGHT,Active,
WASHINGTONIAN PLUMBING LLC,606 090 961,WA LIMITED LIABILITY COMPANY,"375 UNION AVE SE UNIT 161, RENTON, WA, 98059, UNITED STATES",GABRIELA VACA PEREZ,Active,
WATER FORCE PLUMBING LLC,606 088 660,WA LIMITED LIABILITY COMPANY,"5813 14TH ST CT NE, TACOMA, WA, 98422, UNITED STATES",MANAGER,Active,
WEARS PLUMBING LLC,606 053 197,WA LIMITED LIABILITY COMPANY,"15113 N MCGLAUGHLIN RD, FORD, WA, 99013, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",Active,
WESTERN EDGE PLUMBING LLC,606 019 085,WA LIMITED LIABILITY COMPANY,"3005 MADRONA PL, LONGVIEW, WA, 98632-4523, UNITED STATES",LUCAS SMARR,Active,
